Date,Open,High,Low,Close,Adj Close,Volume
1/5/1996,5.297777,5.277777,5.188888,5.202222,3.145864,5008500
1/8/1996,5.202222,5.238888,5.011111,5.042222,3.049109,12645000
1/9/1996,5.042222,5.108888,4.983333,5.028888,3.041046,8968500
1/10/1996,5.028888,5.111111,4.977777,5.012222,3.030967,2988000
1/11/1996,5.012222,5.043333,4.988888,5.038888,3.047093,2227500
1/12/1996,5.038888,5.133333,5.022222,5.088888,3.077329,4806000
1/15/1996,5.088888,5.111111,5.027777,5.034444,3.044405,2020500
1/16/1996,5.034444,5.067777,5,5.018888,3.034999,3082500
1/17/1996,5.018888,5.044444,5.002222,5.017777,3.034327,3078000
1/18/1996,5.017777,4.997777,4.888888,4.955555,2.9967,5148000
1/19/1996,4.955555,4.966666,4.627777,4.741111,2.867023,16128000
1/22/1996,4.741111,4.775555,4.645555,4.707777,2.846864,3946500
1/23/1996,4.707777,4.747777,4.377777,4.416666,2.670825,7947000
1/24/1996,4.416666,4.477777,4.15,4.225555,2.555258,15763500
1/25/1996,4.225555,4.222222,4.144444,4.182222,2.529054,8140500
1/26/1996,4.182222,4.182222,4.182222,4.182222,2.529054,0
1/29/1996,4.182222,4.505555,4.167777,4.416666,2.670825,9639000
1/30/1996,4.416666,4.821111,4.44,4.692222,2.837459,15669000
1/31/1996,4.692222,4.65,4.46,4.516666,2.731297,9598500
2/1/1996,4.516666,4.866666,4.522222,4.797777,2.901289,12573000
2/2/1996,4.887777,5.444444,4.844444,5.347777,3.233882,28179000
2/5/1996,5.347777,5.888888,5.355555,5.621111,3.399172,18873000
2/6/1996,5.733333,5.776666,5.412222,5.567777,3.36692,14112000
2/7/1996,5.488888,5.6,5.335555,5.485555,3.317199,13968000
2/8/1996,5.555555,6.062222,5.488888,6.062222,3.665918,21955500
2/9/1996,6.062222,6.396666,6.068888,6.262222,3.786862,12181500
2/12/1996,6.344444,6.344444,6,6.065555,3.667934,14436000
2/13/1996,6.065555,6.288888,6,6.21,3.755282,11718000
2/14/1996,6.311111,6.588888,6.311111,6.403333,3.872194,9598500
2/15/1996,6.403333,6.644444,6.333333,6.466666,3.910492,16924500
2/16/1996,6.311111,6.488888,6.155555,6.274444,3.794252,12861000
2/19/1996,6.275555,6.388888,6.266666,6.272222,3.792909,5913000
2/20/1996,6.333333,6.333333,5.866666,5.996666,3.626275,9823500
2/21/1996,5.996666,5.996666,5.996666,5.996666,3.626275,0
2/22/1996,5.996666,6.221111,6.127777,6.143333,3.714968,3231000
2/23/1996,6.143333,6.155555,5.98,6.064444,3.667262,3168000
